,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
0,Celkon Mobiles,4.1,64,Consumer Electronics & Appliances,Hyderabad/Secunderabad +13 more,Hyderabad/Secunderabad +13 more,1-10 Employees
1,Swarna Pragati Housing Microfinance,3.8,64,Financial Services,Nagpur +21 more,Nagpur +21 more,51-200 Employees
2,Dhanush InfoTech,3.4,64,IT Services & Consulting,Hyderabad/Secunderabad +8 more,Hyderabad/Secunderabad +8 more,51-200 Employees
3,Johnson Electric,3.6,64,Electronics Manufacturing,Sha Tin +4 more,Sha Tin +4 more,51-200 Employees
4,MPOnline,3.7,64,IT Services & Consulting,Bhopal +6 more,17 years old,201-500 Employees
5,Unicommerce Esolutions,3.9,64,Software Product,Gurgaon +2 more,11 years old,201-500 Employees
6,Hind Terminals,4.1,64,Logistics,Mumbai +13 more,Mumbai +13 more,1k-5k Employees
7,Unitech Machines,3.3,64,Engineering & Construction,Gurgaon +11 more,Gurgaon +11 more,1k-5k Employees
8,ProProfs,3.9,64,Software Product,San Francisco,San Francisco,51-200 Employees
9,TDI International India,3.5,64,Marketing & Advertising,Delhi/NCR +12 more,Delhi/NCR +12 more,501-1k Employees
10,Sportz Interactive,3.8,64,Gaming,Stratford +3 more,Stratford +3 more,51-200 Employees
11,HH Global,3.9,64,IT Services & Consulting,Leatherhead +6 more,Leatherhead +6 more,1k-5k Employees (Global)
12,Spice Retail,2.6,64,Consumer Electronics & Appliances,New Delhi +14 more,New Delhi +14 more,51-200 Employees
13,Eclat Health Solutions,3.5,64,Financial Services,Herndon +4 more,Herndon +4 more,201-500 Employees
14,Bostik,3.9,64,Chemicals,Colombes +11 more,Colombes +11 more,201-500 Employees
15,ANAAMALAIS TOYOTA,4.5,64,Financial Services,Coimbatore +13 more,Coimbatore +13 more,1k-5k Employees
16,HUCON Solutions,3.9,64,Recruitment,Secunderabad +3 more,Secunderabad +3 more,51-200 Employees (Global)
17,Risk Management Solutions,4.1,64,IT Services & Consulting,Newark +5 more,Newark +5 more,201-500 Employees
18,Sri Sri Ravishankar Vidya Mandir,4.2,64,EdTech,Bangalore/Bengaluru +12 more,Bangalore/Bengaluru +12 more,201-500 Employees
19,L T Metro Rail,4.0,64,Urban Transport,Hyderabad +3 more,Hyderabad +3 more,501-1k Employees
20,Cholamandalam Securities,3.5,65,Investment Banking / Venture Capital / Private Equity,chennai +31 more,45 years old,201-500 Employees
21,Nikhil Adhesives,4.0,65,Chemicals,Mumbai +17 more,37 years old,51-200 Employees
22,Konkan Railway Corporation,3.7,65,Railways,Navi Mumbai +14 more,52 years old,5k-10k Employees (Global)
23,ESDEE PAINTS,3.0,65,Chemicals,Mumbai +11 more,60 years old,201-500 Employees
24,Benzo Chem Industries,3.8,65,Chemicals,Mumbai +6 more,Mumbai +6 more,51-200 Employees
25,Mandhana Industries,4.4,65,Fashion & Textile,Mumbai +13 more,39 years old,5k-10k Employees
26,Derewala Jewellery Industries,3.3,65,Jewellery,Jaipur,Jaipur,201-500 Employees
27,Global Group,3.8,65,Engineering & Construction,Pune +6 more,Pune +6 more,51-200 Employees
28,The Judge Group,3.4,65,Recruitment,Wayne +4 more,Wayne +4 more,501-1k Employees
29,SunSource Energy,4.0,65,Power,Noida +7 more,Noida +7 more,51-200 Employees
30,Qualitas Global QA Labs,3.2,65,IT Services & Consulting,Pune +1 more,Pune +1 more,201-500 Employees
31,Pan Seeds,3.8,65,Agriculture,Kolkata +15 more,Kolkata +15 more,201-500 Employees
32,Asit C Mehta Investment Interrmediates,3.4,65,Investment Banking / Venture Capital / Private Equity,Mumbai +10 more,Mumbai +10 more,51-200 Employees
33,Brigosha Technologies,2.8,65,IT Services & Consulting,Bangalore/Bengaluru +2 more,Bangalore/Bengaluru +2 more,11-50 Employees
34,Mothercare,3.9,65,Retail,Watford +21 more,62 years old,51-200 Employees
35,Tekwissen,3.8,65,IT Services & Consulting,Ann Arbor +3 more,Ann Arbor +3 more,201-500 Employees
36,PP Merchandising Services,4.0,65,Retail,Chennai +18 more,Chennai +18 more,201-500 Employees
37,Rain Industries,3.8,65,Chemicals / Agri Inputs,Hyderabad/Secunderabad +8 more,49 years old,201-500 Employees
38,Sarvotham Care,4.0,65,Pharma,Hyderabad/Secunderabad +7 more,27 years old,51-200 Employees
39,Creative Textile Mill,3.8,65,Fashion & Textile,Mumbai +6 more,Mumbai +6 more,1k-5k Employees
